name,description,province
Vịnh Hạ Long,"Vịnh biển nằm ở phía đông bắc Việt Nam, thuộc vùng bờ biển tỉnh Quảng Ninh. Cách Hà Nội khoảng 165km về phía đông bắc. Nổi tiếng với hàng nghìn hòn đảo đá vôi và hang động tuyệt đẹp.",Quảng Ninh
Phố cổ Hội An,"Nằm bên bờ sông Thu Bồn, cách thành phố Đà Nẵng khoảng 30km về phía nam. Là một thương cảng cổ với kiến trúc độc đáo pha trộn giữa Việt Nam, Trung Quốc và Nhật Bản.",Quảng Nam
Ruộng bậc thang Sapa,"Nằm ở huyện Sapa, tỉnh Lào Cai, cách Hà Nội khoảng 320km về phía tây bắc. Những thửa ruộng bậc thang tuyệt đẹp trải dài trên sườn núi Hoàng Liên Sơn.",Lào Cai
Động Phong Nha,"Nằm trong Vườn quốc gia Phong Nha-Kẻ Bàng, cách thành phố Đồng Hới khoảng 50km về phía tây bắc. Là một trong những hang động lớn và đẹp nhất thế giới.",Quảng Bình
Thành phố Đà Lạt,"Nằm trên cao nguyên Lâm Viên thuộc tỉnh Lâm Đồng, cách TP.HCM khoảng 300km về phía đông bắc. Nổi tiếng với khí hậu mát mẻ quanh năm và cảnh quan thiên nhiên tuyệt đẹp.",Lâm Đồng
Vịnh Nha Trang,"Nằm ở thành phố Nha Trang, tỉnh Khánh Hòa. Cách TP.HCM khoảng 450km về phía đông bắc. Nổi tiếng với bãi biển cát trắng dài và nhiều đảo nhỏ đẹp.",Khánh Hòa
Cố đô Huế,"Nằm ở trung tâm tỉnh Thừa Thiên Huế, cách Đà Nẵng khoảng 100km về phía bắc. Là kinh đô cuối cùng của triều đại phong kiến Việt Nam với nhiều di tích lịch sử quan trọng.",Thừa Thiên Huế
Phú Quốc,"Là hòn đảo lớn nhất của Việt Nam, nằm trong vịnh Thái Lan. Cách TP.HCM khoảng 400km về phía tây nam. Nổi tiếng với các bãi biển đẹp và nước mắm.",Kiên Giang
Mũi Né,"Nằm ở thành phố Phan Thiết, tỉnh Bình Thuận, cách TP.HCM khoảng 200km về phía đông. Nổi tiếng với những đồi cát và bãi biển đẹp.",Bình Thuận
Hồ Hoàn Kiếm,"Nằm ở trung tâm Hà Nội. Là biểu tượng của Thủ đô với tháp Rùa nổi tiếng và đền Ngọc Sơn.",Hà Nội
Vịnh Lan Hạ,"Nằm ở phía đông đảo Cát Bà, cách thành phố Hải Phòng khoảng 30km về phía đông nam. Vịnh có hơn 300 đảo đá vôi và nhiều bãi biển nhỏ hoang sơ.",Hải Phòng
Cù Lao Chàm,"Cách Hội An khoảng 15km về phía đông, gồm nhóm 8 đảo nhỏ. Nổi tiếng với các rạn san hô đẹp và hoạt động lặn biển.",Quảng Nam
Núi Fansipan,"Đỉnh núi cao nhất Đông Dương, nằm ở dãy Hoàng Liên Sơn, cách thị trấn Sa Pa khoảng 9km về phía tây nam. Độ cao 3,143m so với mực nước biển.",Lào Cai
Bãi biển Mỹ Khê,"Nằm ở thành phố Đà Nẵng, cách trung tâm thành phố khoảng 6km về phía đông. Được tạp chí Forbes bình chọn là một trong những bãi biển quyến rũ nhất hành tinh.",Đà Nẵng
Chợ nổi Cái Răng,"Nằm trên sông Cần Thơ, cách trung tâm thành phố Cần Thơ khoảng 6km về phía nam. Là một trong những chợ nổi lớn nhất đồng bằng sông Cửu Long.",Cần Thơ
